typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,170,COL,Colombia,170,COL,Colombia,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,12940.0,10100.0,12940.0,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,156,CHN,China,0,W00,World,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,7194240.43,6872594.19,7194240.43,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,100,BGR,Bulgaria,276,DEU,Germany,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,235581.07,219553.53,235581.07,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,348,HUN,Hungary,0,W00,World,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,2201.49,1865.38,2201.49,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,410,KOR,Rep. of Korea,392,JPN,Japan,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,16.45,10.0,16.45,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,764,THA,Thailand,392,JPN,Japan,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,36000.66,32272.37,36000.66,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,724,ESP,Spain,276,DEU,Germany,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,98803.88,96186.1,98803.88,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,484,MEX,Mexico,484,MEX,Mexico,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,495925.59,471941.6,495925.59,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,834,TZA,United Rep. of Tanzania,0,W00,World,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,265431.23,262540.44,265431.23,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,152,CHL,Chile,410,KOR,Rep. of Korea,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,9043.29,8960.0,9043.29,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,792,TUR,Türkiye,792,TUR,Türkiye,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,275995.58,250789.9,275995.58,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,360,IDN,Indonesia,360,IDN,Indonesia,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,2800295.7,2674140.0,2800295.7,0,False,True
