indice_tiempo,nivel_general
7/1/2012,111.67
8/1/2012,114.25
9/1/2012,115.96
10/1/2012,117.67
11/1/2012,120.11
12/1/2012,122.48
1/1/2013,125.29
2/1/2013,126.66
3/1/2013,128.62
4/1/2013,131.2
5/1/2013,133.16
6/1/2013,135.67
7/1/2013,139
8/1/2013,141.89
9/1/2013,144.92
10/1/2013,148.11
11/1/2013,151.63
12/1/2013,155.06
1/1/2014,162.5
2/1/2014,169.61
3/1/2014,175.8
4/1/2014,181.29
5/1/2014,185.81
6/1/2014,190.15
7/1/2014,194.38
8/1/2014,198.8
9/1/2014,203.27
10/1/2014,207.19
11/1/2014,210.97
12/1/2014,214.04
1/1/2015,218.23
2/1/2015,221.4
3/1/2015,225.08
4/1/2015,230.41
5/1/2015,235.51
6/1/2015,238.69
7/1/2015,243.56
8/1/2015,248.02
9/1/2015,252.13
10/1/2015,256.42
11/1/2015,261.43
12/1/2015,271.67
1/1/2016,282.91
2/1/2016,294.14
3/1/2016,303.9
4/1/2016,323.79
5/1/2016,340.09
6/1/2016,351.05
7/1/2016,358.62
8/1/2016,355.9
9/1/2016,360.68
10/1/2016,371.14
11/1/2016,378.49
12/1/2016,383.19
1/1/2017,390.43
2/1/2017,398.84
3/1/2017,410.36
4/1/2017,419.04
5/1/2017,426.62
6/1/2017,433.14
7/1/2017,440.78
8/1/2017,447.94
9/1/2017,455.04
10/1/2017,462.02
11/1/2017,467.86
12/1/2017,483.3
1/1/2018,491.11
2/1/2018,503.84
3/1/2018,514.58
4/1/2018,530.2
5/1/2018,542.53
6/1/2018,562.37
7/1/2018,577.5
8/1/2018,598.59
9/1/2018,634.58
10/1/2018,668.01
11/1/2018,686.66
12/1/2018,703.01
1/1/2019,729.85
2/1/2019,754.44
3/1/2019,784.51
4/1/2019,813.52
5/1/2019,839.06
6/1/2019,862.25
7/1/2019,881.29
8/1/2019,911.2
9/1/2019,957.01
10/1/2019,983.47
11/1/2019,1022.85
12/1/2019,1058.5
1/1/2020,1084.28
2/1/2020,1104.31
3/1/2020,1134.63
4/1/2020,1156.95
5/1/2020,1168.06
6/1/2020,1184.61
7/1/2020,1203.72
8/1/2020,1232.73
9/1/2020,1260.36
10/1/2020,1291.6
11/1/2020,1331
12/1/2020,1381.02
1/1/2021,1433.99
2/1/2021,1474.86
3/1/2021,1532.21
4/1/2021,1593.88
5/1/2021,1651.33
6/1/2021,1704.33
7/1/2021,1754.55
8/1/2021,1805.72
9/1/2021,1866.86
10/1/2021,1935.78
11/1/2021,1984.35
12/1/2021,2060.55
1/1/2022,2143.51
2/1/2022,2231.01
