indice_tiempo,nivel_general
12/1/1961,9.02E-11
1/1/1962,8.66E-11
2/1/1962,8.79E-11
3/1/1962,8.93E-11
4/1/1962,9.22E-11
5/1/1962,9.54E-11
6/1/1962,9.68E-11
7/1/1962,1.01E-10
8/1/1962,1.02E-10
9/1/1962,1.06E-10
10/1/1962,1.08E-10
11/1/1962,1.07E-10
12/1/1962,1.18E-10
1/1/1963,1.13E-10
2/1/1963,1.14E-10
3/1/1963,1.20E-10
4/1/1963,1.21E-10
5/1/1963,1.21E-10
6/1/1963,1.23E-10
7/1/1963,1.25E-10
8/1/1963,1.25E-10
9/1/1963,1.27E-10
10/1/1963,1.31E-10
11/1/1963,1.34E-10
12/1/1963,1.46E-10
1/1/1964,1.45E-10
2/1/1964,1.44E-10
3/1/1964,1.44E-10
4/1/1964,1.49E-10
5/1/1964,1.50E-10
6/1/1964,1.52E-10
7/1/1964,1.52E-10
8/1/1964,1.51E-10
9/1/1964,1.53E-10
10/1/1964,1.59E-10
11/1/1964,1.61E-10
12/1/1964,1.72E-10
1/1/1965,1.66E-10
2/1/1965,1.74E-10
3/1/1965,1.78E-10
4/1/1965,1.80E-10
5/1/1965,1.84E-10
6/1/1965,1.92E-10
7/1/1965,2.00E-10
8/1/1965,2.04E-10
9/1/1965,2.07E-10
10/1/1965,2.13E-10
11/1/1965,2.20E-10
12/1/1965,2.38E-10
1/1/1966,2.33E-10
2/1/1966,2.38E-10
3/1/1966,2.43E-10
4/1/1966,2.48E-10
5/1/1966,2.51E-10
6/1/1966,2.53E-10
7/1/1966,2.57E-10
8/1/1966,2.60E-10
9/1/1966,2.64E-10
10/1/1966,2.72E-10
11/1/1966,2.79E-10
12/1/1966,3.10E-10
1/1/1967,2.95E-10
2/1/1967,3.01E-10
3/1/1967,3.08E-10
4/1/1967,3.12E-10
5/1/1967,3.15E-10
6/1/1967,3.29E-10
7/1/1967,3.45E-10
8/1/1967,3.46E-10
9/1/1967,3.48E-10
10/1/1967,3.58E-10
11/1/1967,3.66E-10
12/1/1967,3.94E-10
1/1/1968,3.81E-10
2/1/1968,3.85E-10
3/1/1968,3.82E-10
4/1/1968,3.81E-10
5/1/1968,3.81E-10
6/1/1968,3.82E-10
7/1/1968,3.82E-10
8/1/1968,3.83E-10
9/1/1968,3.88E-10
10/1/1968,3.96E-10
11/1/1968,3.97E-10
12/1/1968,4.32E-10
1/1/1969,4.12E-10
2/1/1969,4.07E-10
3/1/1969,4.11E-10
4/1/1969,4.12E-10
5/1/1969,4.06E-10
