countryname,countrycode,continente,gdppc,pstability,corrup,alphrate,spend,lrights
"Venezuela, RB",VEN,America,,-1.5260483,14,97.5,,1
British Virgin Islands,VGB,America,,,,,,
Virgin Islands (U.S.),VIR,America,,.42680451,,,,
Vietnam,VNM,Asia,3756.489,-.1146021,39,,,8
Vanuatu,VUT,Oceania,3044.5737,.79127312,45,89.099998,,11
Samoa,WSM,Oceania,3857.3567,1.1099176,,99.099998,35.082859,9
"Yemen, Rep.",YEM,Asia,603.70795,-2.588038,16,,,0
South Africa,ZAF,Africa,7055.0552,-.70657682,44,,34.250038,5
Zambia,ZMB,Africa,1137.3444,.060216367,33,,25.078949,11
Zimbabwe,ZWE,Africa,1773.9204,-1.0267831,23,89.699997,,6
